id,turn_number,generated_response
2651,7,Yeah it definetely felt like the article just wanted you to just to the conclusions on your own. I'm guessing the poachers were members of the community and that caused the mob. I wonder how the poahcer even got away from them in the first place.
2653,8,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
2655,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
2657,10,"The response of France also sounded a lot like a U.S. response to a similar event.  The government claims more power to insure safety.  Backlash against Muslims increases for a time.  People mourn.  It could have been America after 9/11.  My point is, people are largely people, even though other countries like to paint the U.S. as different.  Of course it is in ways, but we're also just all people."
2727,6,"I wish they would. I mean taking the article into consideration again, even if you forget the killing the damage done in the name of religion needs to be addressed. Both sides need to do more to remember peace, tolerance and acceptance is better than violence and hatred."
2729,7,Well this article just made me really grateful to be an American.  The horrors those people are enduring are truly outlandish.
2731,8,Well this article just made me really grateful to be an American.  The horrors those people are enduring are truly outlandish.
2733,9,I would prefer that people not feel the need to kill themselves.  That would be my hope for people.  How about you?
2735,10,"Maybe, but it would be really scary. I can't imagine having to start a completely new life in a new country. The people that do leave must be very strong people!"
2750,6,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
2751,7,Well this article just made me really grateful to be an American.  The horrors those people are enduring are truly outlandish.
2752,8,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
2753,9,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
2754,10,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
